,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,3.31086642742157,1.5072478305870662,0.006115913391113281,0.0014705786715276576,tanh,0.9971848109388686,"(5, 5)",invscaling,0.30233257263183977,848,adam,"{'activation': 'tanh', 'alpha': 0.9971848109388686, 'hidden_layer_sizes': (5, 5), 'learning_rate': 'invscaling', 'learning_rate_init': 0.30233257263183977, 'max_iter': 848, 'solver': 'adam'}",-0.006016252235670372,-0.0003215626367840674,-0.0017440613952997008,-0.006925204008363606,-0.00013783586651294755,-0.0018882865838056873,-0.009074656951687299,-0.0006463607022588747,-0.00029236551190514604,-0.0012740742638783775,-0.0028320660156166077,0.003084695507693539,9,-0.002130862648018983,-0.0006019601570572686,-0.0002279527416868543,-0.001216928905755088,-6.730625355455544e-05,-0.0016362968489502805,-0.005718679845402752,-0.0014277616488791445,-0.000970118151049304,-0.0054920314919220115,-0.0019489898692276243,0.0019229543445211834
1,4.388851165771484,4.583728848766818,0.007926154136657714,0.0014465477617455794,logistic,0.3965807272960261,"(10, 10, 10)",invscaling,0.66974603680348,282,lbfgs,"{'activation': 'logistic', 'alpha': 0.3965807272960261, 'hidden_layer_sizes': (10, 10, 10), 'learning_rate': 'invscaling', 'learning_rate_init': 0.66974603680348, 'max_iter': 282, 'solver': 'lbfgs'}",0.7274040967116931,0.7199783509979036,0.6762303792645565,-0.0022829588484956087,4.356744959255199e-05,-4.298385286372053e-06,-0.0005105918107362051,-0.0001653729637460799,-0.00022587753844249825,0.8861416617368949,0.30066089566139337,0.372297720570002,5,0.7388171579835772,0.7187351132329709,0.6667201499415061,-4.0034642267983145e-12,4.968661471804747e-05,-4.5492054567830564e-11,-3.2281510797815827e-11,-3.4440983398553726e-10,-1.173548369592936e-09,0.8956755950161601,0.3019997701189197,0.37378374452622665
2,2.247078061103821,0.3782138775275487,0.008537840843200684,0.0006410822720610488,logistic,0.4191945144032948,"(10, 5, 10)",constant,0.20445224973151743,491,adam,"{'activation': 'logistic', 'alpha': 0.4191945144032948, 'hidden_layer_sizes': (10, 5, 10), 'learning_rate': 'constant', 'learning_rate_init': 0.20445224973151743, 'max_iter': 491, 'solver': 'adam'}",-0.00574702621315426,-0.0020458202323276886,-0.00036322607307925914,-0.001386612877072313,-0.0015088572754629048,-5.794368004918837e-05,-0.0028661820850826025,-9.558650777119482e-06,-0.0012463487546072738,-0.0035923538292477186,-0.0018823929670860329,0.001696696097019476,7,-0.0019711878121051463,-0.001668123408802069,-0.0022585906423662205,-0.00010767001247957708,-0.001248217922219963,-8.947907486045459e-05,-0.006275771604471014,-0.00024821770968430634,-0.0023791239274539855,-0.0003410834348578362,-0.0016587465549300572,0.0017622764994411825
3,2.427731728553772,1.1003801355765443,0.007588815689086914,0.0009288706132893654,tanh,0.534413908947017,"(5, 5)",invscaling,0.43069856718470845,479,adam,"{'activation': 'tanh', 'alpha': 0.534413908947017, 'hidden_layer_sizes': (5, 5), 'learning_rate': 'invscaling', 'learning_rate_init': 0.43069856718470845, 'max_iter': 479, 'solver': 'adam'}",-0.0007063537706406553,-0.00010456354935639567,-0.0008928678036097537,-0.009088022854767175,-6.058097133743168e-05,-0.009515081052128282,-0.0009725906504016724,-0.021497060437638327,-1.531999632442549e-05,-0.01246057979683135,-0.005531302088303547,0.006977266475338357,11,-2.557767206834427e-05,-2.125392373186763e-05,-0.0034419029515972976,-0.01984435148594277,-0.00012850143512643797,-0.009478332145018697,-8.000781644179611e-05,-0.01740735243576852,-0.0003377807397977328,-0.0046934198505756974,-0.005545848045606916,0.007163111621276354
4,3.5963370561599732,1.5222280514441797,0.006139588356018066,0.0012644197606730223,identity,0.8007445686755367,"(10, 10)",invscaling,0.6923226156693141,514,adam,"{'activation': 'identity', 'alpha': 0.8007445686755367, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'invscaling', 'learning_rate_init': 0.6923226156693141, 'max_iter': 514, 'solver': 'adam'}",0.3098633774583338,0.6804692939890766,0.9187160207863103,0.9169754526047031,0.7516281347891659,-0.4279374040695889,0.8591381854241213,0.8424237591200988,0.8664412885261972,0.8855495585741247,0.6603267667202543,0.40179752430232474,4,0.31417725540048047,0.6654223477802909,0.9181933763772645,0.9184029216868803,0.7562154004228867,-0.36383244458430375,0.8548502894152996,0.8507357108824628,0.8785125563806959,0.8989042486059344,0.6691581662367891,0.3858600709897386
5,2.6035632133483886,0.8045638956134793,0.005757808685302734,0.0014651304916780707,logistic,0.8291469073671416,"(5, 5)",invscaling,0.27304997421674737,634,adam,"{'activation': 'logistic', 'alpha': 0.8291469073671416, 'hidden_layer_sizes': (5, 5), 'learning_rate': 'invscaling', 'learning_rate_init': 0.27304997421674737, 'max_iter': 634, 'solver': 'adam'}",-0.000127934740107305,-0.00014986739762035128,-0.0009801867267764663,-0.0012704186930083683,-0.002646757882037276,-0.0024518164879614446,-0.00596950152451492,-0.0013491446586368916,-0.004228672600441463,-0.0007649825327087356,-0.001993928324381322,0.001783109557956069,8,-0.0018585874083068,-4.4853818806700474e-05,-1.8786104581947072e-05,-0.0001427016985895424,-0.0030288790159282986,-0.002150673599790043,-0.003236748923489685,-0.002395158317014978,-0.006015760450170493,-0.00016329681578519661,-0.0019055446152463685,0.0018274283715665278
6,2.536533737182617,1.3810243278142071,0.005576181411743164,0.0010271331877693573,identity,0.5930655182980569,"(10, 5, 10)",invscaling,0.411787878969053,516,adam,"{'activation': 'identity', 'alpha': 0.5930655182980569, 'hidden_layer_sizes': (10, 5, 10), 'learning_rate': 'invscaling', 'learning_rate_init': 0.411787878969053, 'max_iter': 516, 'solver': 'adam'}",0.8945546820000707,0.9162697423748014,0.9199663642769682,0.23002250997342455,0.9009150137938005,0.8650801865403187,0.8250027884889848,0.839875966093352,0.9123656804940805,0.900888496070753,0.8204941430106555,0.19923966652827924,3,0.8935927573232767,0.9026666850246496,0.9104078523871832,0.28784622791972414,0.9063893410195063,0.8701576627304722,0.8087424795159674,0.852445094803917,0.9183810501414225,0.911247278746294,0.8261876429612414,0.18231600166303646
7,23.434945726394652,8.350509286568615,0.03394715785980225,0.02296074307522492,logistic,0.31551563100606295,"(5, 5)",adaptive,0.8346256718973729,622,sgd,"{'activation': 'logistic', 'alpha': 0.31551563100606295, 'hidden_layer_sizes': (5, 5), 'learning_rate': 'adaptive', 'learning_rate_init': 0.8346256718973729, 'max_iter': 622, 'solver': 'sgd'}",,-6.263906752615667e+225,,,,,,,,-0.0024055982925157426,,,19,,-6.710860085905e+225,,,,,,,,-6.283450109956235e-05,,
8,2.3855077743530275,0.7529296772583718,0.006357669830322266,0.0009741108474672094,identity,0.9888610889064947,"(5, 5)",invscaling,0.2804439920644052,472,lbfgs,"{'activation': 'identity', 'alpha': 0.9888610889064947, 'hidden_layer_sizes': (5, 5), 'learning_rate': 'invscaling', 'learning_rate_init': 0.2804439920644052, 'max_iter': 472, 'solver': 'lbfgs'}",0.9220691860282445,0.9252822366359276,0.9368340594680804,0.9395742763473224,0.9320794091975861,0.9354668764616795,0.9365197111276329,0.9365058212004337,0.9319806912122123,0.9155938398121893,0.9311906107491309,0.007347477872139066,1,0.9188316587517436,0.9162573233082315,0.9356691263638507,0.9349951321783257,0.9362012082397977,0.935484984384666,0.9343766298001606,0.9356014140877013,0.9360670764643347,0.9237687405940842,0.9307253294172895,0.0074841906482611305
9,18.140534901618956,0.37618056082565066,0.01670119762420654,0.009998700178951454,tanh,0.44789352617590517,"(10, 10)",adaptive,0.28777533858634874,357,sgd,"{'activation': 'tanh', 'alpha': 0.44789352617590517, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'adaptive', 'learning_rate_init': 0.28777533858634874, 'max_iter': 357, 'solver': 'sgd'}",,,,,,,,,,,,,18,,,,,,,,,,,,
