"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-44.6875","-22.6366004943848","635","25.31","17.946","34.82322948","1.76736292654847","0.930394869271444","29.74516218",
"1/2/1979","-44.6875","-22.6366004943848","635","25.045","17.44","12.9200904","1.43553526958461","0.944738251390804","20.9069487",
"1/3/1979","-44.6875","-22.6366004943848","635","25.006","17.981","15.700146516","1.57142999660304","0.920965567085733","27.1784259",
"1/4/1979","-44.6875","-22.6366004943848","635","20.991","16.023","26.54399736","2.51166818015645","0.976479581074547","8.01472698",
"1/5/1979","-44.6875","-22.6366004943848","635","16.987","14.227","2.84013828","1.9061070394867","0.976248383310841","4.99190472",
"1/6/1979","-44.6875","-22.6366004943848","635","16.565","13.63","2.33974512","1.73652232060256","0.961886438898141","6.09851124",
"1/7/1979","-44.6875","-22.6366004943848","635","17.286","9.47399999999999","2.449608444","1.86505121663317","0.948838112491373","11.41222104",
"1/8/1979","-44.6875","-22.6366004943848","635","20.414","6.98099999999999","7.4398020264","1.53661111638596","0.951371632928699","18.477225648",
"1/9/1979","-44.6875","-22.6366004943848","635","19.613","13.261","1.833343704","1.90003665660281","0.926505083219881","15.24852612",
"1/10/1979","-44.6875","-22.6366004943848","635","21.536","11.035","1.3183594056","1.63714136508139","0.887187110611864","25.21541142",
"1/11/1979","-44.6875","-22.6366004943848","635","18.531","14.84","4.438307304","1.45574991507229","0.956338024879849","10.59401556",
"1/12/1979","-44.6875","-22.6366004943848","635","16.537","15.359","39.74307768","0.968476795824751","0.987109828597772","1.22737554",
"1/13/1979","-44.6875","-22.6366004943848","635","18.366","15.125","6.078529692","1.80541132575216","0.980005635719301","10.595025",
"1/14/1979","-44.6875","-22.6366004943848","635","21.249","7.93000000000001","1.0488513528","1.837080815833","0.897963336299552","27.4149135",
"1/15/1979","-44.6875","-22.6366004943848","635","22.437","9.28199999999998","1.6445168136","1.64764839467553","0.901572148808551","26.44734744",
"1/16/1979","-44.6875","-22.6366004943848","635","22.55","14.51","2.283095232","1.76251865293552","0.902030731685631","28.005183",
"1/17/1979","-44.6875","-22.6366004943848","635","21.979","15.158","4.6228416624","1.87838180906997","0.928902215867396","25.74381294",
"1/18/1979","-44.6875","-22.6366004943848","635","21.621","13.666","5.9815403352","1.59530681115523","0.943007329686912","28.875699",
"1/19/1979","-44.6875","-22.6366004943848","635","21.54","14.622","3.3225026688","1.59603804663825","0.946189006748934","14.637319128",
"1/20/1979","-44.6875","-22.6366004943848","635","23.457","15.39","4.166225136","1.18813993228518","0.951059594074549","14.24233242",
"1/21/1979","-44.6875","-22.6366004943848","635","18.839","16.823","17.3953008","1.61131310990994","0.983743532130234","2.72452491",
"1/22/1979","-44.6875","-22.6366004943848","635","17.92","15.364","10.89191628","1.84994755261983","0.972524550975772","5.605257312",
"1/23/1979","-44.6875","-22.6366004943848","635","19.958","11.634","2.06851968","1.72238249672681","0.933650166311888","21.82860072",
"1/24/1979","-44.6875","-22.6366004943848","635","25.074","13.517","8.0964104904","1.46852742213767","0.921865491950285","28.55907558",
"1/25/1979","-44.6875","-22.6366004943848","635","26.167","14.272","14.4290019888","1.51615166690231","0.944708030701397","23.256285732",
"1/26/1979","-44.6875","-22.6366004943848","635","24.905","16.445","27.99968292","1.26961692462163","0.940807518124601","27.91350234",
"1/27/1979","-44.6875","-22.6366004943848","635","24.419","15.896","11.501310708","1.99224204096568","0.91578193389348","30.47906421",
"1/28/1979","-44.6875","-22.6366004943848","635","26.207","16.376","6.5420167464","2.8890464395134","0.892036575822392","29.3483754",
"1/29/1979","-44.6875","-22.6366004943848","635","21.265","16.163","18.9033507144","2.35019266757517","0.961557321514936","8.26649802",
"1/30/1979","-44.6875","-22.6366004943848","635","17.199","15.391","28.30181472","1.40925836508361","0.984626587617757","3.637966536",
"1/31/1979","-44.6875","-22.6366004943848","635","17.092","14.85","2.8804779504","1.60897883840158","0.981487264441658","4.5432027",
"2/1/1979","-44.6875","-22.6366004943848","635","20.888","13.76","4.1027084064","1.75765739231437","0.954366155893625","13.6164915",
"2/2/1979","-44.6875","-22.6366004943848","635","20.667","15.738","7.463835108","1.44288836556923","0.965723426888076","13.49881416",
"2/3/1979","-44.6875","-22.6366004943848","635","21.708","14.607","7.4595482424","1.35019469628403","0.962881651307271","13.18876398",
"2/4/1979","-44.6875","-22.6366004943848","635","20.685","13.611","29.6133088464","1.18678199814077","0.978950839336315","6.78948561",
"2/5/1979","-44.6875","-22.6366004943848","635","21.532","17.374","37.68825348","1.51513847882396","0.969779756738416","9.809659296",
"2/6/1979","-44.6875","-22.6366004943848","635","22.518","17.683","15.71216148","1.72175596363841","0.953667689955634","19.02177909",
"2/7/1979","-44.6875","-22.6366004943848","635","25.389","16.888","6.4664852184","2.30399655831335","0.903625747618701","25.91892936",
"2/8/1979","-44.6875","-22.6366004943848","635","26.443","16.195","1.4136317064","2.33118793318741","0.890974140922729","29.78139897",
"2/9/1979","-44.6875","-22.6366004943848","635","25.161","16.009","15.1147883664","1.547025960904","0.942340743629763","23.665950342",
"2/10/1979","-44.6875","-22.6366004943848","635","26.187","15.309","9.6696805464","1.69757810547252","0.939349754510252","22.157379882",
"2/11/1979","-44.6875","-22.6366004943848","635","27.862","14.248","4.3601997744","1.26813272790777","0.901585166330586","23.28350139",
"2/12/1979","-44.6875","-22.6366004943848","635","24.802","14.66","16.0297344","1.82106904690601","0.918925151021018","22.71723327",
"2/13/1979","-44.6875","-22.6366004943848","635","21.19","17.939","14.1706406448","3.40048804755187","0.951448137757495","7.93951848",
"2/14/1979","-44.6875","-22.6366004943848","635","21.542","18.378","31.2123596328","2.06313575653273","0.967891913598669","6.4735308",
"2/15/1979","-44.6875","-22.6366004943848","635","21.175","14.403","12.3870832776","1.71492884589352","0.960630556324937","16.2552906",
"2/16/1979","-44.6875","-22.6366004943848","635","22.964","14.579","2.2393226448","1.38101949211085","0.925174651354535","18.60046704",
"2/17/1979","-44.6875","-22.6366004943848","635","24.792","10.67","5.393597796","1.06449063481041","0.916516499136435","22.71740544",
"2/18/1979","-44.6875","-22.6366004943848","635","25.895","17.105","11.638643112","0.947769408130027","0.940539665116508","17.70654204",
"2/19/1979","-44.6875","-22.6366004943848","635","21.517","17.496","8.835414192","1.68153178709595","0.966971644435743","5.42807622",
"2/20/1979","-44.6875","-22.6366004943848","635","26.636","16.667","18.04761504","1.57050469044088","0.928111766639666","19.53742248",
"2/21/1979","-44.6875","-22.6366004943848","635","19.861","17.735","14.48650872","1.60585628714776","0.983222675350536","2.46014982",
"2/22/1979","-44.6875","-22.6366004943848","635","20.662","16.788","6.826112172","1.92107928809768","0.968061645190293","8.24129568",
"2/23/1979","-44.6875","-22.6366004943848","635","25.626","16.219","1.0934826984","2.25354432855161","0.867492706407874","29.45480652",
"2/24/1979","-44.6875","-22.6366004943848","635","25.653","15.07","2.907946476","2.12163468872949","0.883217882116158","28.1561058",
"2/25/1979","-44.6875","-22.6366004943848","635","26.077","14.802","0.1750946616","1.68165071150147","0.878504037897299","21.53447838",
"2/26/1979","-44.6875","-22.6366004943848","635","25.711","15.347","16.5575956392","1.5554802041177","0.91597693772454","28.0723536",
"2/27/1979","-44.6875","-22.6366004943848","635","25.754","15.711","9.566692056","1.5671757157579","0.909881588155435","28.90985292",
"2/28/1979","-44.6875","-22.6366004943848","635","26.217","15.004","3.4744248","1.89785448047375","0.870374248983442","28.33172136",
"3/1/1979","-44.6875","-22.6366004943848","635","25.107","17.731","17.3961719784","1.892434226587","0.937694230724043","24.278390712",
"3/2/1979","-44.6875","-22.6366004943848","635","19.329","16.676","18.8690148","1.73034393617148","0.984986977343619","3.2923701",
"3/3/1979","-44.6875","-22.6366004943848","635","21.603","15.176","4.459761684","1.72985301990646","0.926791999005556","27.306114552",
"3/4/1979","-44.6875","-22.6366004943848","635","22.924","13.476","6.5746379376","1.35535938017617","0.93134603901259","23.04309168",
